,cue,R1,frec,frec_cue,ratio,frec_R1,cue_norm,l_cue,l_r1
7,teddy,bear,85,100,0.10967741935483871,775,0.85,5,4
10,smooch,kiss,84,98,0.27009646302250806,311,0.8571428571428571,6,4
12,arachnid,spider,84,95,0.302158273381295,278,0.8842105263157894,8,6
15,perspire,sweat,83,96,0.259375,320,0.8645833333333334,8,5
16,sahara,desert,83,100,0.19714964370546317,421,0.83,6,6
17,cob,corn,83,97,0.13949579831932774,595,0.8556701030927835,3,4
18,perhaps,maybe,83,99,0.1966824644549763,422,0.8383838383838383,7,5
19,bubonic,plague,83,91,0.6693548387096774,124,0.9120879120879121,7,6
21,uncooked,raw,82,99,0.543046357615894,151,0.8282828282828283,8,3
22,grizzly,bear,82,99,0.10580645161290322,775,0.8282828282828283,7,4
24,oink,pig,82,98,0.10539845758354756,778,0.8367346938775511,4,3
29,wick,candle,81,93,0.3537117903930131,229,0.8709677419354839,4,6
31,inexpensive,cheap,80,98,0.17582417582417584,455,0.8163265306122449,11,5
32,comprehend,understand,80,100,0.23668639053254437,338,0.8,10,10
39,itch,scratch,78,98,0.4262295081967213,183,0.7959183673469388,4,7
42,giggle,laugh,78,100,0.12111801242236025,644,0.78,6,5
45,gust,wind,78,99,0.11487481590574374,679,0.7878787878787878,4,4
47,trousers,pants,77,100,0.11290322580645161,682,0.77,8,5
48,unattractive,ugly,77,100,0.14102564102564102,546,0.77,12,4
50,attempt,try,77,100,0.22063037249283668,349,0.77,7,3
51,misplaced,lost,77,100,0.11684370257966616,659,0.77,9,4
53,maize,corn,77,93,0.12941176470588237,595,0.8279569892473119,5,4
55,cashew,nut,77,96,0.17579908675799086,438,0.8020833333333334,6,3
58,jigsaw,puzzle,77,98,0.1925,400,0.7857142857142857,6,6
59,despise,hate,77,97,0.1032171581769437,746,0.7938144329896907,7,4
61,weep,cry,77,97,0.14285714285714285,539,0.7938144329896907,4,3
63,perspiration,sweat,77,97,0.240625,320,0.7938144329896907,12,5
64,honeydew,melon,77,97,0.5539568345323741,139,0.7938144329896907,8,5
74,yolk,egg,75,93,0.1085383502170767,691,0.8064516129032258,4,3
77,nile,river,75,100,0.12998266897746968,577,0.75,4,5
83,tardy,late,75,95,0.1865671641791045,402,0.7894736842105263,5,4
84,hare,rabbit,74,93,0.24666666666666667,300,0.7956989247311828,4,6
86,erupt,volcano,74,98,0.2924901185770751,253,0.7551020408163265,5,7
89,pepperoni,pizza,74,99,0.22699386503067484,326,0.7474747474747475,9,5
97,dune,sand,74,100,0.14313346228239845,517,0.74,4,4
98,spud,potato,74,93,0.1716937354988399,431,0.7956989247311828,4,6
100,quench,thirst,74,99,0.7326732673267327,101,0.7474747474747475,6,6
105,spectacles,glasses,74,97,0.13857677902621723,534,0.7628865979381443,10,7
106,hi,hello,74,100,0.14979757085020243,494,0.74,2,5
111,marrow,bone,74,88,0.19946091644204852,371,0.8409090909090909,6,4
118,cairo,egypt,73,94,0.20054945054945056,364,0.776595744680851,5,5
119,permitted,allowed,73,100,0.5251798561151079,139,0.73,9,7
122,sufficient,enough,73,95,0.3230088495575221,226,0.7684210526315789,10,6
123,sirloin,steak,73,92,0.2673992673992674,273,0.7934782608695652,7,5
124,bashful,shy,72,98,0.1411764705882353,510,0.7346938775510204,7,3
125,prior,before,72,99,0.1509433962264151,477,0.7272727272727273,5,6
128,concur,agree,72,93,0.22018348623853212,327,0.7741935483870968,6,5
129,sill,window,72,84,0.15859030837004406,454,0.8571428571428571,4,6
132,concealed,hidden,72,98,0.18997361477572558,379,0.7346938775510204,9,6
134,bumble,bee,72,98,0.11093990755007704,649,0.7346938775510204,6,3
140,crossword,puzzle,72,99,0.18,400,0.7272727272727273,9,6
144,forecast,weather,71,100,0.1628440366972477,436,0.71,8,7
145,wager,bet,71,93,0.5634920634920635,126,0.7634408602150538,5,3
146,lobe,ear,71,94,0.17401960784313725,408,0.7553191489361702,4,3
150,fewer,less,71,96,0.2022792022792023,351,0.7395833333333334,5,4
152,arid,dry,71,93,0.15367965367965367,462,0.7634408602150538,4,3
153,denim,jeans,71,100,0.2305194805194805,308,0.71,5,5
158,relocate,move,71,97,0.11181102362204724,635,0.7319587628865979,8,4
160,adam,eve,71,98,0.7888888888888889,90,0.7244897959183674,4,3
163,cider,apple,71,100,0.10142857142857142,700,0.71,5,5
164,homosexual,gay,70,100,0.1388888888888889,504,0.7,10,3
166,migraine,headache,70,100,0.3333333333333333,210,0.7,8,8
167,regulations,rules,70,99,0.17857142857142858,392,0.7070707070707071,11,5
174,scrambled,eggs,70,98,0.15053763440860216,465,0.7142857142857143,9,4
176,hypodermic,needle,70,94,0.1388888888888889,504,0.7446808510638298,10,6
177,sob,cry,70,98,0.12987012987012986,539,0.7142857142857143,3,3
178,ought,should,70,100,0.5,140,0.7,5,6
180,bouquet,flowers,69,100,0.1311787072243346,526,0.69,7,7
183,morse,code,69,91,0.215625,320,0.7582417582417582,5,4
184,belch,burp,69,96,0.71875,96,0.71875,5,4
186,ravenous,hungry,69,94,0.1490280777537797,463,0.7340425531914894,8,6
192,velocity,speed,69,96,0.12921348314606743,534,0.71875,8,5
199,flush,toilet,69,100,0.134765625,512,0.69,5,6
202,balsamic,vinegar,69,98,0.6509433962264151,106,0.7040816326530612,8,7
209,eruption,volcano,68,98,0.26877470355731226,253,0.6938775510204082,8,7
211,crescent,moon,68,96,0.12686567164179105,536,0.7083333333333334,8,4
214,glucose,sugar,68,99,0.12121212121212122,561,0.6868686868686869,7,5
215,grail,holy,68,92,0.19047619047619047,357,0.7391304347826086,5,4
219,margarine,butter,68,100,0.16346153846153846,416,0.68,9,6
220,flunk,fail,68,98,0.24028268551236748,283,0.6938775510204082,5,4
224,barbie,doll,68,100,0.3953488372093023,172,0.68,6,4
225,jill,jack,68,93,0.2698412698412698,252,0.7311827956989247,4,4
